year,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1995,-0.718117114,-0.769586136,0.258283402,-0.349130629,-0.13431928,-0.104701714,0.050927672,0.120792,0.321047519,0.512092127,0.495865761,0.343079023,-0.093377392,0.844945187,0.160653145,0.848251661,0.555544845,0.722373689
1996,0.708146622,0.832090116,0.187836764,0.374876455,0.63220539,0.446926531,-0.06832107,-0.214722719,0.353388559,-0.037172642,-0.411049089,-0.563554167,-0.407415995,-0.340920082,-0.65936377,-0.178251928,0.563906042,-0.228801962
1997,0.119048847,0.196611601,0.135417245,0.309506905,0.350951993,0.650178274,-0.02055928,0.552919057,0.299328113,0.233954039,0.502745071,0.54837923,0.417319166,0.906741878,-0.125386634,0.513245907,0.919799648,0.069794519
1998,0.237286937,0.486472403,0.479649568,-0.172566867,0.168496445,0.141626643,0.281927257,0.043787519,0.016192717,0.263935813,0.228101015,-0.221249641,-0.308138347,0.432283459,0.543126336,0.951415271,0.345412707,0.947174167
1999,-0.323419178,-0.646070549,-0.339274446,-0.090984406,-0.659877968,-0.222477514,0.380363767,-0.16007792,0.554560578,0.500846101,0.686556734,0.344705584,0.25841605,0.469328439,0.170399032,0.275043442,0.136420256,-0.064536064
2000,0.339707398,0.421275152,-0.540623335,0.180723607,-0.094676872,-0.604000433,-0.247435014,-0.909648701,-0.176946581,-0.449735745,-0.083427031,-0.598622485,-0.555149532,-0.455383598,-0.7601296,-0.484512724,-0.237795006,-0.184500022
2001,-0.540159562,-0.357733012,-0.180515351,-0.166306828,-0.464993697,-0.107401128,0.309595772,0.134918267,0.156161155,0.096666366,0.21603703,0.304673938,0.139746985,0.112176326,0.354392291,-0.389973219,-0.597011536,-0.304645891
2002,-0.545988789,-0.915531234,-0.509057423,0.409798779,0.027347501,-0.12635171,0.317396597,0.379167837,-0.27543347,-0.644965047,-0.30017631,0.138803459,-0.420754357,-1.227113466,-1.19995038,-0.718729862,-0.285590493,-0.575782291
2003,-0.110808381,0.981006949,0.966720614,-0.387286074,0.613608419,0.978045581,-0.567443477,0.497251267,-0.599931707,-0.256424078,-0.068648217,0.133190828,0.114124527,-0.045266793,-0.056051412,-0.200026561,-0.434849478,0.222736757
2004,0.036110251,0.71820732,-0.128779584,0.38383867,0.653625614,0.210693519,0.188046304,0.22075968,0.097323101,-0.078895368,0.216315485,0.47144161,0.588674638,-0.056361677,-0.183387329,-0.211139135,-0.072550073,-0.364814705
2005,0.251875558,0.052370105,0.303589073,-0.162178544,0.187557044,0.306181291,-0.097890394,0.054726162,0.260528467,0.101483592,0.316185061,0.224266761,0.511402226,0.658018162,0.409248758,0.756492123,-0.188527633,0.738232664
2006,0.971106425,0.185259076,-0.620069965,0.326479212,-0.049172388,-0.601733387,-0.064499527,-0.700879712,-0.179066795,-0.315708809,-0.611049768,-0.551309382,-0.435661265,0.003773687,-0.716678245,0.095731435,0.21289861,0.16257002
2007,0.303596511,0.144690492,-0.628347816,0.1397691,-0.138905106,-1.296105464,0.166215004,-0.188878813,-0.071132376,0.332586342,0.560436843,0.846343454,0.701331695,0.07289678,-0.273614628,-0.617751959,-0.3132168,-0.801210926
2008,0.85165147,0.182652722,-0.195847436,0.507292215,0.5624354,-0.79520609,0.556053413,0.017779969,-0.211852929,0.174108552,0.12517842,-0.371574967,-0.277466609,0.201941582,-0.194446767,-0.421962295,-0.333547685,-0.656023824
2009,0.762202447,0.078793195,-0.046749665,0.289409156,0.006836591,0.157257515,0.168027594,0.070483253,0.356151406,0.392616021,0.084902666,-0.356042784,-0.372090138,-0.07813795,-0.508937064,-0.143030141,-0.273204822,-0.405136963
2010,0.225957239,0.203576732,0.262770917,-0.115628823,-0.125282046,0.183704015,0.675734251,0.035536749,0.380602581,0.599327946,0.364438208,0.452578061,0.615351578,-0.092718466,-0.186117358,-0.261866507,0.123678444,-0.038996875
2011,0.959141738,0.447265024,-0.498131431,0.436869386,0.438209955,0.01049636,0.349848692,-0.538843194,0.597541557,0.470451204,-0.891279504,-1.322284233,-1.353687152,0.456578543,-0.212826681,0.904493725,0.58115347,0.39728395
2012,0.439603101,0.033306181,0.066807308,-0.008644163,0.232444028,0.104966562,-0.27573511,0.037577216,-0.053352119,-0.45343043,-0.168229679,0.264297419,-0.071398452,-0.635254889,0.014709412,-0.473090009,-0.112177914,-0.298415722
